Trace1				Trace2			
Freq		Amp		Freq		Amp	
22500000	Hz	-64.36	 dBm	22500000	Hz	-64.76	 dBm
22508333	Hz	-64.64	 dBm	22508333	Hz	-64.71	 dBm
22516666	Hz	-64.01	 dBm	22516666	Hz	-64.73	 dBm
22524999	Hz	-64.35	 dBm	22524999	Hz	-64.31	 dBm
22533332	Hz	-64.71	 dBm	22533332	Hz	-65.13	 dBm
22541665	Hz	-64.83	 dBm	22541665	Hz	-65.16	 dBm
22549998	Hz	-64.18	 dBm	22549998	Hz	-65.08	 dBm
22558331	Hz	-64.43	 dBm	22558331	Hz	-65.07	 dBm
22566664	Hz	-64.34	 dBm	22566664	Hz	-65.61	 dBm
22574997	Hz	-64.39	 dBm	22574997	Hz	-64.63	 dBm
22583330	Hz	-64.45	 dBm	22583330	Hz	-64.68	 dBm
22591663	Hz	-64.28	 dBm	22591663	Hz	-64.9	 dBm
22599996	Hz	-64.02	 dBm	22599996	Hz	-64.74	 dBm
22608329	Hz	-63.86	 dBm	22608329	Hz	-65.02	 dBm
22616662	Hz	-63.92	 dBm	22616662	Hz	-65.15	 dBm
22624995	Hz	-64.03	 dBm	22624995	Hz	-64.91	 dBm
22633328	Hz	-64.22	 dBm	22633328	Hz	-65.27	 dBm
22641661	Hz	-64.01	 dBm	22641661	Hz	-65.13	 dBm
22649994	Hz	-63.96	 dBm	22649994	Hz	-65.43	 dBm
22658327	Hz	-63.99	 dBm	22658327	Hz	-64.9	 dBm
22666660	Hz	-64.21	 dBm	22666660	Hz	-64.86	 dBm
22674993	Hz	-64.02	 dBm	22674993	Hz	-65.06	 dBm
22683326	Hz	-64.23	 dBm	22683326	Hz	-65.23	 dBm
22691659	Hz	-64.55	 dBm	22691659	Hz	-65.13	 dBm
22699992	Hz	-64.18	 dBm	22699992	Hz	-65	 dBm
22708325	Hz	-64.16	 dBm	22708325	Hz	-65.3	 dBm
22716658	Hz	-64.68	 dBm	22716658	Hz	-65.16	 dBm
22724991	Hz	-64.78	 dBm	22724991	Hz	-64.95	 dBm
22733324	Hz	-64.99	 dBm	22733324	Hz	-65.61	 dBm
22741657	Hz	-64.7	 dBm	22741657	Hz	-64.82	 dBm
22749990	Hz	-64.52	 dBm	22749990	Hz	-64.86	 dBm
22758323	Hz	-64.67	 dBm	22758323	Hz	-65.24	 dBm
22766656	Hz	-64.56	 dBm	22766656	Hz	-65.16	 dBm
22774989	Hz	-64.89	 dBm	22774989	Hz	-65.54	 dBm
22783322	Hz	-65	 dBm	22783322	Hz	-65.39	 dBm
22791655	Hz	-64.82	 dBm	22791655	Hz	-65.36	 dBm
22799988	Hz	-64.72	 dBm	22799988	Hz	-65.46	 dBm
22808321	Hz	-64.89	 dBm	22808321	Hz	-65.41	 dBm
22816654	Hz	-64.91	 dBm	22816654	Hz	-65.21	 dBm
22824987	Hz	-64.83	 dBm	22824987	Hz	-65.13	 dBm
22833320	Hz	-65.13	 dBm	22833320	Hz	-65.05	 dBm
22841653	Hz	-65.01	 dBm	22841653	Hz	-65.55	 dBm
22849986	Hz	-64.8	 dBm	22849986	Hz	-64.92	 dBm
22858319	Hz	-64.97	 dBm	22858319	Hz	-65.23	 dBm
22866652	Hz	-65.25	 dBm	22866652	Hz	-64.77	 dBm
22874985	Hz	-64.71	 dBm	22874985	Hz	-65.22	 dBm
22883318	Hz	-65.02	 dBm	22883318	Hz	-65.23	 dBm
22891651	Hz	-65.32	 dBm	22891651	Hz	-65.58	 dBm
22899984	Hz	-65.03	 dBm	22899984	Hz	-65.15	 dBm
