Trace1				Trace2			
Freq		Amp		Freq		Amp	
22500000		-64.36	 	22500000		-64.76	 
22508333		-64.64	 	22508333		-64.71	 
22516666		-64.01	 	22516666		-64.73	 
22524999		-64.35	 	22524999		-64.31	 
22533332		-64.71	 	22533332		-65.13	 
22541665		-64.83	 	22541665		-65.16	 
22549998		-64.18	 	22549998		-65.08	 
22558331		-64.43	 	22558331		-65.07	 
22566664		-64.34	 	22566664		-65.61	 
22574997		-64.39	 	22574997		-64.63	 
22583330		-64.45	 	22583330		-64.68	 
22591663		-64.28	 	22591663		-64.9	 
22599996		-64.02	 	22599996		-64.74	 
22608329		-63.86	 	22608329		-65.02	 
22616662		-63.92	 	22616662		-65.15	 
22624995		-64.03	 	22624995		-64.91	 
22633328		-64.22	 	22633328		-65.27	 
22641661		-64.01	 	22641661		-65.13	 
22649994		-63.96	 	22649994		-65.43	 
22658327		-63.99	 	22658327		-64.9	 
22666660		-64.21	 	22666660		-64.86	 
22674993		-64.02	 	22674993		-65.06	 
22683326		-64.23	 	22683326		-65.23	 
22691659		-64.55	 	22691659		-65.13	 
22699992		-64.18	 	22699992		-65	 
22708325		-64.16	 	22708325		-65.3	 
22716658		-64.68	 	22716658		-65.16	 
22724991		-64.78	 	22724991		-64.95	 
22733324		-64.99	 	22733324		-65.61	 
22741657		-64.7	 	22741657		-64.82	 
22749990		-64.52	 	22749990		-64.86	 
22758323		-64.67	 	22758323		-65.24	 
22766656		-64.56	 	22766656		-65.16	 
22774989		-64.89	 	22774989		-65.54	 
22783322		-65	 	22783322		-65.39	 
22791655		-64.82	 	22791655		-65.36	 
22799988		-64.72	 	22799988		-65.46	 
22808321		-64.89	 	22808321		-65.41	 
22816654		-64.91	 	22816654		-65.21	 
22824987		-64.83	 	22824987		-65.13	 
22833320		-65.13	 	22833320		-65.05	 
22841653		-65.01	 	22841653		-65.55	 
22849986		-64.8	 	22849986		-64.92	 
22858319		-64.97	 	22858319		-65.23	 
22866652		-65.25	 	22866652		-64.77	 
22874985		-64.71	 	22874985		-65.22	 
22883318		-65.02	 	22883318		-65.23	 
22891651		-65.32	 	22891651		-65.58	 
22899984		-65.03	 	22899984		-65.15	 
22908317		-64.95	 	22908317		-64.97	 
22916650		-65.03	 	22916650		-65.22	 
22924983		-64.75	 	22924983		-65.06	 
22933316		-65.06	 	22933316		-64.82	 
22941649		-64.63	 	22941649		-64.86	 
22949982		-64.86	 	22949982		-65.37	 
22958315		-65.01	 	22958315		-65.72	 
22966648		-65.24	 	22966648		-65.39	 
22974981		-65.16	 	22974981		-65	 
22983314		-65.46	 	22983314		-65.24	 
22991647		-65.03	 	22991647		-65.63	 
22999980		-65.25	 	22999980		-64.7	 
23008313		-64.99	 	23008313		-64.99	 
23016646		-65.15	 	23016646		-64.83	 
23024979		-65.05	 	23024979		-64.87	 
23033312		-64.91	 	23033312		-64.89	 
23041645		-65.24	 	23041645		-65.29	 
23049978		-64.99	 	23049978		-65.32	 
23058311		-65	 	23058311		-64.96	 
23066644		-65.02	 	23066644		-65.1	 
23074977		-65.09	 	23074977		-65.11	 
23083310		-65.23	 	23083310		-65.1	 
23091643		-65.33	 	23091643		-64.92	 
23099976		-65.03	 	23099976		-65.13	 
23108309		-65.25	 	23108309		-64.99	 
23116642		-65.35	 	23116642		-65.27	 
23124975		-65.51	 	23124975		-65.33	 
23133308		-65.14	 	23133308		-65.34	 
23141641		-65.34	 	23141641		-65.37	 
23149974		-65.18	 	23149974		-65.28	 
23158307		-65.16	 	23158307		-65.09	 
23166640		-65.23	 	23166640		-64.92	 
23174973		-65.17	 	23174973		-65.09	 
23183306		-65.33	 	23183306		-65.75	 
23191639		-65.61	 	23191639		-65.46	 
23199972		-65.12	 	23199972		-65.52	 
23208305		-65.31	 	23208305		-65.23	 
23216638		-65.16	 	23216638		-64.73	 
23224971		-65.16	 	23224971		-65.51	 
23233304		-65.67	 	23233304		-65.22	 
23241637		-65.33	 	23241637		-65.14	 
23249970		-64.97	 	23249970		-65.14	 
23258303		-65.24	 	23258303		-65.44	 
23266636		-65.44	 	23266636		-65.53	 
23274969		-65.24	 	23274969		-65.64	 
23283302		-65.2	 	23283302		-65.69	 
23291635		-65.33	 	23291635		-65.3	 
23299968		-65.2	 	23299968		-65.25	 
23308301		-65.62	 	23308301		-65.8	 
23316634		-65.16	 	23316634		-64.97	 
23324967		-65.31	 	23324967		-65.12	 
23333300		-65.25	 	23333300		-65.29	 
23341633		-65.39	 	23341633		-65.51	 
23349966		-64.97	 	23349966		-65.68	 
23358299		-65.03	 	23358299		-65.32	 
23366632		-64.98	 	23366632		-65.06	 
23374965		-65.01	 	23374965		-64.88	 
23383298		-65.62	 	23383298		-65.13	 
23391631		-65.34	 	23391631		-65.11	 
23399964		-65.32	 	23399964		-65.18	 
23408297		-65.27	 	23408297		-65.5	 
23416630		-65.09	 	23416630		-65.36	 
23424963		-65.22	 	23424963		-65.41	 
23433296		-65.23	 	23433296		-65.15	 
23441629		-65.25	 	23441629		-65.31	 
23449962		-65.4	 	23449962		-65.42	 
23458295		-65.52	 	23458295		-65.33	 
23466628		-65.44	 	23466628		-65.08	 
23474961		-65.09	 	23474961		-65.36	 
23483294		-65.55	 	23483294		-65.39	 
23491627		-65.45	 	23491627		-65.18	 
23499960		-65.05	 	23499960		-65.45	 
23508293		-65.09	 	23508293		-65.57	 
23516626		-65.09	 	23516626		-65.64	 
23524959		-65.04	 	23524959		-65.01	 
23533292		-65.08	 	23533292		-65.6	 
23541625		-65.34	 	23541625		-65.18	 
23549958		-65.14	 	23549958		-64.94	 
23558291		-65.16	 	23558291		-65.27	 
23566624		-65.28	 	23566624		-65.78	 
23574957		-65.49	 	23574957		-65.86	 
23583290		-65.42	 	23583290		-65.05	 
23591623		-65.14	 	23591623		-64.9	 
23599956		-65.15	 	23599956		-64.89	 
23608289		-65.44	 	23608289		-64.85	 
23616622		-65.33	 	23616622		-65.34	 
23624955		-65.57	 	23624955		-64.52	 
23633288		-65.22	 	23633288		-65.09	 
23641621		-65.12	 	23641621		-65.35	 
23649954		-65.37	 	23649954		-65.55	 
23658287		-65.18	 	23658287		-64.91	 
