Virgo A Observation:
Column 1: Frequency (Hz) - Trace 1 (on target)
Column 2: Amplitude (dBm) - Trace 1 (on target)
Column 3: Frequency (Hz) - Trace 2 (off target)
Column 4: Amplitude (dBm) - Trace 2 (off target)
Trace1				Trace2			
Freq		Amp		Freq		Amp	
21900000		-84.35	 	21900000		-85.5	 
21900333		-84.5	 	21900333		-85.82	 
21900666		-84.97	 	21900666		-86.14	 
21900999		-85.16	 	21900999		-85.93	 
21901332		-84.93	 	21901332		-85.48	 
21901665		-84.51	 	21901665		-85.17	 
21901998		-84.35	 	21901998		-85.03	 
21902331		-84.48	 	21902331		-85.35	 
21902664		-84.75	 	21902664		-85.78	 
21902997		-85.46	 	21902997		-85.84	 
21903330		-85.98	 	21903330		-85.78	 
21903663		-85.62	 	21903663		-85.75	 
21903996		-85.17	 	21903996		-85.5	 
21904329		-85.24	 	21904329		-85.32	 
21904662		-85.26	 	21904662		-85.28	 
21904995		-85.13	 	21904995		-85.19	 
21905328		-85.05	 	21905328		-84.92	 
21905661		-85.08	 	21905661		-84.49	 
21905994		-84.92	 	21905994		-84.27	 
21906327		-84.96	 	21906327		-84.57	 
21906660		-85.21	 	21906660		-84.76	 
21906993		-85.49	 	21906993		-84.66	 
21907326		-85.51	 	21907326		-84.74	 
21907659		-85.56	 	21907659		-85.2	 
21907992		-85.57	 	21907992		-85.41	 
21908325		-85.19	 	21908325		-85.33	 
21908658		-84.95	 	21908658		-85.4	 
21908991		-85.03	 	21908991		-85.78	 
21909324		-85.48	 	21909324		-86.02	 
21909657		-85.71	 	21909657		-86	 
21909990		-85.23	 	21909990		-85.8	 
21910323		-84.91	 	21910323		-85.37	 
21910656		-84.77	 	21910656		-85.06	 
21910989		-84.86	 	21910989		-85.05	 
21911322		-85.12	 	21911322		-85.3	 
21911655		-85.19	 	21911655		-85.19	 
21911988		-85.12	 	21911988		-85.11	 
21912321		-85.2	 	21912321		-85.11	 
21912654		-85.16	 	21912654		-85.13	 
21912987		-84.94	 	21912987		-85.01	 
21913320		-84.77	 	21913320		-85.14	 
21913653		-84.79	 	21913653		-85.33	 
21913986		-84.71	 	21913986		-85.18	 
21914319		-84.59	 	21914319		-84.96	 
21914652		-84.79	 	21914652		-84.99	 
21914985		-85	 	21914985		-84.85	 
21915318		-85.09	 	21915318		-85.12	 
21915651		-85.13	 	21915651		-85.39	 
21915984		-85.56	 	21915984		-85.3	 
21916317		-86.14	 	21916317		-85.15	 
21916650		-85.75	 	21916650		-85.41	 
21916983		-84.94	 	21916983		-85.41	 
21917316		-83.97	 	21917316		-85.08	 
21917649		-83.08	 	21917649		-84.85	 
21917982		-82.46	 	21917982		-84.59	 
21918315		-82.53	 	21918315		-84.45	 
21918648		-82.92	 	21918648		-84.48	 
21918981		-83.77	 	21918981		-84.21	 
21919314		-84.64	 	21919314		-84.16	 
21919647		-84.85	 	21919647		-84.39	 
21919980		-85.21	 	21919980		-84.9	 
21920313		-85.85	 	21920313		-85.58	 
21920646		-86.05	 	21920646		-86.07	 
21920979		-85.71	 	21920979		-86.24	 
21921312		-85.28	 	21921312		-86.16	 
21921645		-84.6	 	21921645		-85.94	 
21921978		-83.92	 	21921978		-85.7	 
21922311		-83.74	 	21922311		-85.43	 
21922644		-83.66	 	21922644		-85.06	 
21922977		-84.12	 	21922977		-85.1	 
21923310		-84.67	 	21923310		-85.72	 
21923643		-85.33	 	21923643		-86.01	 
21923976		-85.34	 	21923976		-85.93	 
21924309		-85.25	 	21924309		-85.74	 
21924642		-85.32	 	21924642		-85.49	 
21924975		-85.28	 	21924975		-85.27	 
21925308		-85.29	 	21925308		-85.18	 
21925641		-85.21	 	21925641		-85.26	 
21925974		-85.25	 	21925974		-85.21	 
21926307		-85.41	 	21926307		-85.36	 
21926640		-85.34	 	21926640		-85.48	 
21926973		-85.18	 	21926973		-85.52	 
21927306		-85.16	 	21927306		-85.41	 
21927639		-85.23	 	21927639		-85.35	 
21927972		-85.36	 	21927972		-85.7	 
21928305		-85.29	 	21928305		-85.74	 
21928638		-85.31	 	21928638		-85.38	 
21928971		-85.32	 	21928971		-85	 
21929304		-85.59	 	21929304		-84.87	 
21929637		-85.77	 	21929637		-84.76	 
21929970		-85.72	 	21929970		-84.93	 
21930303		-85.5	 	21930303		-85.31	 
21930636		-85.15	 	21930636		-85.73	 
21930969		-84.92	 	21930969		-85.94	 
21931302		-84.87	 	21931302		-86.12	 
21931635		-84.97	 	21931635		-86.13	 
21931968		-85.17	 	21931968		-86.16	 
21932301		-85.25	 	21932301		-86.24	 
21932634		-85.19	 	21932634		-86.07	 
21932967		-85.45	 	21932967		-85.97	 
21933300		-85.57	 	21933300		-85.92	 
21933633		-85.33	 	21933633		-85.78	 
21933966		-84.92	 	21933966		-85.08	 
21934299		-84.97	 	21934299		-84.74	 
21934632		-85.16	 	21934632		-85.01	 
21934965		-85.12	 	21934965		-85.05	 
21935298		-84.93	 	21935298		-84.93	 
21935631		-84.77	 	21935631		-84.92	 
21935964		-84.77	 	21935964		-85.01	 
21936297		-84.56	 	21936297		-85.15	 
21936630		-84.24	 	21936630		-85.27	 
21936963		-84.1	 	21936963		-85.22	 
21937296		-84.6	 	21937296		-84.91	 
21937629		-85.25	 	21937629		-84.94	 
21937962		-85.29	 	21937962		-85.66	 
21938295		-85.24	 	21938295		-86.14	 
21938628		-85.26	 	21938628		-85.85	 
21938961		-85.33	 	21938961		-85.59	 
21939294		-85.53	 	21939294		-85.73	 
