Trace1				Trace2			
Freq		Amp		Freq		Amp	
21000000	Hz	-73.8	 dBm	21000000	Hz	-74.3	 dBm
21003333	Hz	-73.87	 dBm	21003333	Hz	-74.55	 dBm
21006666	Hz	-74.02	 dBm	21006666	Hz	-75.13	 dBm
21009999	Hz	-74.16	 dBm	21009999	Hz	-75.49	 dBm
21013332	Hz	-74.27	 dBm	21013332	Hz	-75.37	 dBm
21016665	Hz	-74.12	 dBm	21016665	Hz	-74.9	 dBm
21019998	Hz	-73.96	 dBm	21019998	Hz	-74.32	 dBm
21023331	Hz	-74.09	 dBm	21023331	Hz	-73.87	 dBm
21026664	Hz	-73.86	 dBm	21026664	Hz	-73.85	 dBm
21029997	Hz	-73.65	 dBm	21029997	Hz	-74.02	 dBm
21033330	Hz	-73.84	 dBm	21033330	Hz	-73.96	 dBm
21036663	Hz	-74.12	 dBm	21036663	Hz	-73.77	 dBm
21039996	Hz	-74.33	 dBm	21039996	Hz	-73.82	 dBm
21043329	Hz	-74.24	 dBm	21043329	Hz	-73.92	 dBm
21046662	Hz	-73.87	 dBm	21046662	Hz	-73.9	 dBm
21049995	Hz	-73.55	 dBm	21049995	Hz	-74.18	 dBm
21053328	Hz	-73.67	 dBm	21053328	Hz	-74.65	 dBm
21056661	Hz	-74	 dBm	21056661	Hz	-74.65	 dBm
21059994	Hz	-74.34	 dBm	21059994	Hz	-74.28	 dBm
21063327	Hz	-74.17	 dBm	21063327	Hz	-74.08	 dBm
21066660	Hz	-74.01	 dBm	21066660	Hz	-74.16	 dBm
21069993	Hz	-74.35	 dBm	21069993	Hz	-74.23	 dBm
21073326	Hz	-74.87	 dBm	21073326	Hz	-74.39	 dBm
21076659	Hz	-75.2	 dBm	21076659	Hz	-74.51	 dBm
21079992	Hz	-75.07	 dBm	21079992	Hz	-74.61	 dBm
21083325	Hz	-74.57	 dBm	21083325	Hz	-74.82	 dBm
21086658	Hz	-74.45	 dBm	21086658	Hz	-74.79	 dBm
21089991	Hz	-74.58	 dBm	21089991	Hz	-74.83	 dBm
21093324	Hz	-74.67	 dBm	21093324	Hz	-74.76	 dBm
21096657	Hz	-74.9	 dBm	21096657	Hz	-74.43	 dBm
21099990	Hz	-74.9	 dBm	21099990	Hz	-73.97	 dBm
21103323	Hz	-74.6	 dBm	21103323	Hz	-74.14	 dBm
21106656	Hz	-74.26	 dBm	21106656	Hz	-74.37	 dBm
21109989	Hz	-73.95	 dBm	21109989	Hz	-74.4	 dBm
21113322	Hz	-73.94	 dBm	21113322	Hz	-74.35	 dBm
21116655	Hz	-74.08	 dBm	21116655	Hz	-74.29	 dBm
21119988	Hz	-74.31	 dBm	21119988	Hz	-73.99	 dBm
21123321	Hz	-74.48	 dBm	21123321	Hz	-73.68	 dBm
21126654	Hz	-74.52	 dBm	21126654	Hz	-73.64	 dBm
21129987	Hz	-74.22	 dBm	21129987	Hz	-73.85	 dBm
21133320	Hz	-73.84	 dBm	21133320	Hz	-74.09	 dBm
21136653	Hz	-73.86	 dBm	21136653	Hz	-74.21	 dBm
21139986	Hz	-74.12	 dBm	21139986	Hz	-74.51	 dBm
21143319	Hz	-74.39	 dBm	21143319	Hz	-74.51	 dBm
21146652	Hz	-74.42	 dBm	21146652	Hz	-74.22	 dBm
21149985	Hz	-74.32	 dBm	21149985	Hz	-74.1	 dBm
21153318	Hz	-74.32	 dBm	21153318	Hz	-74.18	 dBm
21156651	Hz	-74.34	 dBm	21156651	Hz	-74.15	 dBm
21159984	Hz	-74.52	 dBm	21159984	Hz	-73.77	 dBm
21163317	Hz	-74.63	 dBm	21163317	Hz	-73.51	 dBm
21166650	Hz	-74.46	 dBm	21166650	Hz	-73.6	 dBm
21169983	Hz	-74.37	 dBm	21169983	Hz	-74.04	 dBm
21173316	Hz	-74.72	 dBm	21173316	Hz	-74.39	 dBm
21176649	Hz	-74.83	 dBm	21176649	Hz	-74.53	 dBm
21179982	Hz	-74.76	 dBm	21179982	Hz	-74.63	 dBm
21183315	Hz	-74.94	 dBm	21183315	Hz	-74.48	 dBm
21186648	Hz	-74.88	 dBm	21186648	Hz	-74.06	 dBm
21189981	Hz	-74.37	 dBm	21189981	Hz	-73.63	 dBm
21193314	Hz	-74.17	 dBm	21193314	Hz	-73.59	 dBm
21196647	Hz	-74.27	 dBm	21196647	Hz	-73.58	 dBm
21199980	Hz	-74.58	 dBm	21199980	Hz	-73.67	 dBm
21203313	Hz	-74.99	 dBm	21203313	Hz	-74.19	 dBm
21206646	Hz	-74.88	 dBm	21206646	Hz	-74.56	 dBm
21209979	Hz	-74.55	 dBm	21209979	Hz	-74.63	 dBm
21213312	Hz	-74.34	 dBm	21213312	Hz	-74.55	 dBm
21216645	Hz	-74.21	 dBm	21216645	Hz	-74.14	 dBm
21219978	Hz	-74.25	 dBm	21219978	Hz	-73.92	 dBm
21223311	Hz	-74.41	 dBm	21223311	Hz	-74.33	 dBm
21226644	Hz	-74.42	 dBm	21226644	Hz	-74.96	 dBm
21229977	Hz	-74.14	 dBm	21229977	Hz	-75.44	 dBm
21233310	Hz	-74.01	 dBm	21233310	Hz	-75.32	 dBm
21236643	Hz	-74.33	 dBm	21236643	Hz	-74.96	 dBm
21239976	Hz	-74.76	 dBm	21239976	Hz	-74.28	 dBm
21243309	Hz	-74.59	 dBm	21243309	Hz	-74.04	 dBm
21246642	Hz	-74.53	 dBm	21246642	Hz	-74.15	 dBm
21249975	Hz	-74.88	 dBm	21249975	Hz	-74.27	 dBm
21253308	Hz	-74.94	 dBm	21253308	Hz	-74.6	 dBm
21256641	Hz	-74.54	 dBm	21256641	Hz	-74.64	 dBm
21259974	Hz	-74.15	 dBm	21259974	Hz	-74.48	 dBm
21263307	Hz	-74.4	 dBm	21263307	Hz	-74.68	 dBm
21266640	Hz	-74.75	 dBm	21266640	Hz	-74.97	 dBm
21269973	Hz	-74.9	 dBm	21269973	Hz	-74.92	 dBm
21273306	Hz	-74.94	 dBm	21273306	Hz	-74.71	 dBm
21276639	Hz	-74.74	 dBm	21276639	Hz	-74.13	 dBm
21279972	Hz	-74.23	 dBm	21279972	Hz	-73.86	 dBm
21283305	Hz	-73.78	 dBm	21283305	Hz	-74.36	 dBm
21286638	Hz	-73.55	 dBm	21286638	Hz	-74.71	 dBm
21289971	Hz	-73.58	 dBm	21289971	Hz	-74.66	 dBm
21293304	Hz	-73.85	 dBm	21293304	Hz	-74.63	 dBm
21296637	Hz	-74.15	 dBm	21296637	Hz	-74.45	 dBm
21299970	Hz	-74.13	 dBm	21299970	Hz	-74.27	 dBm
21303303	Hz	-74.16	 dBm	21303303	Hz	-74.31	 dBm
21306636	Hz	-74.36	 dBm	21306636	Hz	-74.48	 dBm
21309969	Hz	-74.53	 dBm	21309969	Hz	-74.42	 dBm
21313302	Hz	-74.72	 dBm	21313302	Hz	-74.25	 dBm
21316635	Hz	-74.66	 dBm	21316635	Hz	-73.93	 dBm
21319968	Hz	-74.7	 dBm	21319968	Hz	-73.46	 dBm
21323301	Hz	-74.71	 dBm	21323301	Hz	-73.24	 dBm
21326634	Hz	-74.52	 dBm	21326634	Hz	-73.24	 dBm
21329967	Hz	-74.21	 dBm	21329967	Hz	-73.61	 dBm
21333300	Hz	-73.82	 dBm	21333300	Hz	-74.29	 dBm
