Cassiopeia A Obervation April 7 2026:
Column 1: Frequency (Hz) - Trace 1 (on target)
Column 2: Amplitude (dBm) - Trace 1 (on target)
Column 3: Frequency (Hz) - Trace 2 (off target)
Column 4: Amplitude (dBm) - Trace 2 (off target)
Trace1				Trace2			
Freq		     Amp		Freq		    Amp	
21000000		-73.8	 	21000000		-74.3	 
21003333		-73.87	 	21003333		-74.55	 
21006666		-74.02	 	21006666		-75.13	 
21009999		-74.16	 	21009999		-75.49	 
21013332		-74.27	 	21013332		-75.37	 
21016665		-74.12	 	21016665		-74.9	 
21019998		-73.96	 	21019998		-74.32	 
21023331		-74.09	 	21023331		-73.87	 
21026664		-73.86	 	21026664		-73.85	 
21029997		-73.65	 	21029997		-74.02	 
21033330		-73.84	 	21033330		-73.96	 
21036663		-74.12	 	21036663		-73.77	 
21039996		-74.33	 	21039996		-73.82	 
21043329		-74.24	 	21043329		-73.92	 
21046662		-73.87	 	21046662		-73.9	 
21049995		-73.55	 	21049995		-74.18	 
21053328		-73.67	 	21053328		-74.65	 
21056661		-74	     	21056661		-74.65	 
21059994		-74.34	 	21059994		-74.28	 
21063327		-74.17	 	21063327		-74.08	 
21066660		-74.01	 	21066660		-74.16	 
21069993		-74.35	 	21069993		-74.23	 
21073326		-74.87	 	21073326		-74.39	 
21076659		-75.2	 	21076659		-74.51	 
21079992		-75.07	 	21079992		-74.61	 
21083325		-74.57	 	21083325		-74.82	 
21086658		-74.45	 	21086658		-74.79	 
21089991		-74.58	 	21089991		-74.83	 
21093324		-74.67	 	21093324		-74.76	 
21096657		-74.9	 	21096657		-74.43	 
21099990		-74.9	 	21099990		-73.97	 
21103323		-74.6	 	21103323		-74.14	 
21106656		-74.26	 	21106656		-74.37	 
21109989		-73.95	 	21109989		-74.4	 
21113322		-73.94	 	21113322		-74.35	 
21116655		-74.08	 	21116655		-74.29	 
21119988		-74.31	 	21119988		-73.99	 
21123321		-74.48	 	21123321		-73.68	 
21126654		-74.52	 	21126654		-73.64	 
21129987		-74.22	 	21129987		-73.85	 
21133320		-73.84	 	21133320		-74.09	 
21136653		-73.86	 	21136653		-74.21	 
