Trace1				Trace2			
Freq		Amp		Freq		Amp	
21900000	Hz	-84.35	 dBm	21900000	Hz	-85.5	 dBm
21900333	Hz	-84.5	 dBm	21900333	Hz	-85.82	 dBm
21900666	Hz	-84.97	 dBm	21900666	Hz	-86.14	 dBm
21900999	Hz	-85.16	 dBm	21900999	Hz	-85.93	 dBm
21901332	Hz	-84.93	 dBm	21901332	Hz	-85.48	 dBm
21901665	Hz	-84.51	 dBm	21901665	Hz	-85.17	 dBm
21901998	Hz	-84.35	 dBm	21901998	Hz	-85.03	 dBm
21902331	Hz	-84.48	 dBm	21902331	Hz	-85.35	 dBm
21902664	Hz	-84.75	 dBm	21902664	Hz	-85.78	 dBm
21902997	Hz	-85.46	 dBm	21902997	Hz	-85.84	 dBm
21903330	Hz	-85.98	 dBm	21903330	Hz	-85.78	 dBm
21903663	Hz	-85.62	 dBm	21903663	Hz	-85.75	 dBm
21903996	Hz	-85.17	 dBm	21903996	Hz	-85.5	 dBm
21904329	Hz	-85.24	 dBm	21904329	Hz	-85.32	 dBm
21904662	Hz	-85.26	 dBm	21904662	Hz	-85.28	 dBm
21904995	Hz	-85.13	 dBm	21904995	Hz	-85.19	 dBm
21905328	Hz	-85.05	 dBm	21905328	Hz	-84.92	 dBm
21905661	Hz	-85.08	 dBm	21905661	Hz	-84.49	 dBm
21905994	Hz	-84.92	 dBm	21905994	Hz	-84.27	 dBm
21906327	Hz	-84.96	 dBm	21906327	Hz	-84.57	 dBm
21906660	Hz	-85.21	 dBm	21906660	Hz	-84.76	 dBm
21906993	Hz	-85.49	 dBm	21906993	Hz	-84.66	 dBm
21907326	Hz	-85.51	 dBm	21907326	Hz	-84.74	 dBm
21907659	Hz	-85.56	 dBm	21907659	Hz	-85.2	 dBm
21907992	Hz	-85.57	 dBm	21907992	Hz	-85.41	 dBm
21908325	Hz	-85.19	 dBm	21908325	Hz	-85.33	 dBm
21908658	Hz	-84.95	 dBm	21908658	Hz	-85.4	 dBm
21908991	Hz	-85.03	 dBm	21908991	Hz	-85.78	 dBm
21909324	Hz	-85.48	 dBm	21909324	Hz	-86.02	 dBm
21909657	Hz	-85.71	 dBm	21909657	Hz	-86	 dBm
21909990	Hz	-85.23	 dBm	21909990	Hz	-85.8	 dBm
21910323	Hz	-84.91	 dBm	21910323	Hz	-85.37	 dBm
